originZip,originCity,originState,originCountry,destZip,destCity,destState,destCountry,scac,carrierName,lane,miles,originLat,originLng,destLat,destLng,equipmentTypeDesc,equipmentTypeCode,shipmentDate,lineHaul,accessorials,tax,fuel,shipper,consignee,direction
64120,Kansas City,MO,US,75201,Dallas,TX,US,PAMT,PAM Transport,US-MO-Kansas City-TO-Dallas-TX-US-RF,457,39.13,-94.52,32.78,-96.8,Reefer,RF,2025-11-25,1617.78,475.49,119.22,291.2,Stark Components,Wonka Markets,outbound
80216,Denver,CO,US,07102,Newark,NJ,US,JBHT,J.B. Hunt Freight,US-CO-Denver-TO-Newark-NJ-US-SD,1617,39.79,-104.97,40.74,-74.17,Step Deck,SD,2025-12-31,4099.37,415.26,262.63,737.89,Globex Industries,Cyberdyne Stores,outbound
80216,Denver,CO,US,60601,Chicago,IL,US,USXP,US Xpress,US-CO-Denver-TO-Chicago-IL-US-RF,916,39.79,-104.97,41.88,-87.63,Reefer,RF,2025-10-12,2147.35,214.41,137.41,386.52,Wayne Distribution,Massive Dynamic,outbound
85034,Phoenix,AZ,US,30303,Atlanta,GA,US,KNXX,Knight Transportation,US-AZ-Phoenix-TO-Atlanta-GA-US-VN,1587,33.43,-112.04,33.75,-84.39,Dry Van,VN,2025-12-27,2673.73,0,157.75,481.27,Wayne Distribution,Massive Dynamic,third party
80216,Denver,CO,US,60601,Chicago,IL,US,WERN,Werner Enterprises,US-CO-Denver-TO-Chicago-IL-US-RF,916,39.79,-104.97,41.88,-87.63,Reefer,RF,2025-07-29,2746.43,0,162.04,494.36,Umbrella Foods,Cyberdyne Stores,inbound
07102,Newark,NJ,US,75201,Dallas,TX,US,USXP,US Xpress,US-NJ-Newark-TO-Dallas-TX-US-RF,1363,40.74,-74.17,32.78,-96.8,Reefer,RF,2025-10-14,3917.63,229.35,242.61,705.17,Hooli Materials,Gekko Wholesale,outbound
85034,Phoenix,AZ,US,75201,Dallas,TX,US,KNXX,Knight Transportation,US-AZ-Phoenix-TO-Dallas-TX-US-HS,882,33.43,-112.04,32.78,-96.8,Hotshot,HS,2025-06-24,1467.7,0,86.59,264.19,Hooli Materials,Vandelay Imports,inbound
80216,Denver,CO,US,43215,Columbus,OH,US,SWFT,Swift Logistics,US-CO-Denver-TO-Columbus-OH-US-HS,1163,39.79,-104.97,39.96,-82.99,Hotshot,HS,2025-06-23,2452.57,71.66,148.28,441.46,Hooli Materials,Cyberdyne Stores,intercompany
90021,Los Angeles,CA,US,80216,Denver,CO,US,SCNN,Schneider National,US-CA-Los Angeles-TO-Denver-CO-US-VN,832,34.03,-118.23,39.79,-104.97,Dry Van,VN,2025-08-24,1849.99,0,109.15,333,Soylent Goods,Northwind Retail,third party
75201,Dallas,TX,US,60601,Chicago,IL,US,SWFT,Swift Logistics,US-TX-Dallas-TO-Chicago-IL-US-FB,805,32.78,-96.8,41.88,-87.63,Flatbed,FB,2026-03-15,1680.59,126.4,105.47,302.51,Soylent Goods,Cyberdyne Stores,third party
80216,Denver,CO,US,07102,Newark,NJ,US,WERN,Werner Enterprises,US-CO-Denver-TO-Newark-NJ-US-SD,1617,39.79,-104.97,40.74,-74.17,Step Deck,SD,2025-08-02,2887.23,143.2,177.51,519.7,Initech Supply,Vandelay Imports,inbound
98108,Seattle,WA,US,07102,Newark,NJ,US,USXP,US Xpress,US-WA-Seattle-TO-Newark-NJ-US-RF,2393,47.55,-122.31,40.74,-74.17,Reefer,RF,2025-12-06,6953.36,0,410.25,1251.61,Soylent Goods,Massive Dynamic,inbound
90021,Los Angeles,CA,US,80216,Denver,CO,US,PAMT,PAM Transport,US-CA-Los Angeles-TO-Denver-CO-US-VN,832,34.03,-118.23,39.79,-104.97,Dry Van,VN,2025-12-14,1943.04,199.73,124.63,349.75,Wayne Distribution,Tyrell Depot,outbound
80216,Denver,CO,US,60601,Chicago,IL,US,SCNN,Schneider National,US-CO-Denver-TO-Chicago-IL-US-RF,916,39.79,-104.97,41.88,-87.63,Reefer,RF,2025-11-25,2617.74,136.15,161.25,471.19,Acme Manufacturing,Gekko Wholesale,outbound
37210,Nashville,TN,US,60601,Chicago,IL,US,WERN,Werner Enterprises,US-TN-Nashville-TO-Chicago-IL-US-FB,400,36.13,-86.74,41.88,-87.63,Flatbed,FB,2025-09-18,924.31,108.72,59.97,166.38,Wayne Distribution,Cyberdyne Stores,intercompany
07102,Newark,NJ,US,90021,Los Angeles,CA,US,SCNN,Schneider National,US-NJ-Newark-TO-Los Angeles-CA-US-HS,2437,40.74,-74.17,34.03,-118.23,Hotshot,HS,2025-09-09,4712.03,0,278.01,848.16,Acme Manufacturing,Vandelay Imports,outbound
64120,Kansas City,MO,US,90021,Los Angeles,CA,US,WERN,Werner Enterprises,US-MO-Kansas City-TO-Los Angeles-CA-US-SD,1358,39.13,-94.52,34.03,-118.23,Step Deck,SD,2025-09-24,4155.45,200.37,255.19,747.98,Hooli Materials,Pied Piper Warehousing,inbound
80216,Denver,CO,US,43215,Columbus,OH,US,SWFT,Swift Logistics,US-CO-Denver-TO-Columbus-OH-US-HS,1163,39.79,-104.97,39.96,-82.99,Hotshot,HS,2025-08-22,2247.93,0,132.63,404.63,Umbrella Foods,Massive Dynamic,third party
80216,Denver,CO,US,37210,Nashville,TN,US,SCNN,Schneider National,US-CO-Denver-TO-Nashville-TN-US-HS,1023,39.79,-104.97,36.13,-86.74,Hotshot,HS,2026-01-26,2413.05,0,142.37,434.35,Wayne Distribution,Gekko Wholesale,intercompany
90021,Los Angeles,CA,US,80216,Denver,CO,US,SWFT,Swift Logistics,US-CA-Los Angeles-TO-Denver-CO-US-FB,832,34.03,-118.23,39.79,-104.97,Flatbed,FB,2025-07-17,1298.4,153.27,84.27,233.71,Hooli Materials,Wonka Markets,inbound
80216,Denver,CO,US,60601,Chicago,IL,US,WERN,Werner Enterprises,US-CO-Denver-TO-Chicago-IL-US-RF,916,39.79,-104.97,41.88,-87.63,Reefer,RF,2025-08-24,2838.95,0,167.5,511.01,Soylent Goods,Gekko Wholesale,outbound
75201,Dallas,TX,US,60601,Chicago,IL,US,SCNN,Schneider National,US-TX-Dallas-TO-Chicago-IL-US-FB,805,32.78,-96.8,41.88,-87.63,Flatbed,FB,2026-01-22,1851.69,88.38,113.67,333.3,Stark Components,Northwind Retail,third party
07102,Newark,NJ,US,90021,Los Angeles,CA,US,SWFT,Swift Logistics,US-NJ-Newark-TO-Los Angeles-CA-US-FB,2437,40.74,-74.17,34.03,-118.23,Flatbed,FB,2025-09-23,6403.69,107.99,383.22,1152.66,Soylent Goods,Northwind Retail,third party
90021,Los Angeles,CA,US,80216,Denver,CO,US,PAMT,PAM Transport,US-CA-Los Angeles-TO-Denver-CO-US-FB,832,34.03,-118.23,39.79,-104.97,Flatbed,FB,2025-09-12,2015.72,0,118.93,362.83,Stark Components,Northwind Retail,inbound
43215,Columbus,OH,US,33101,Miami,FL,US,CRST,CRST Carriers,US-OH-Columbus-TO-Miami-FL-US-HS,993,39.96,-82.99,25.78,-80.2,Hotshot,HS,2025-08-09,2651.14,0,156.42,477.2,Acme Manufacturing,Cyberdyne Stores,inbound
75201,Dallas,TX,US,60601,Chicago,IL,US,KNXX,Knight Transportation,US-TX-Dallas-TO-Chicago-IL-US-FB,805,32.78,-96.8,41.88,-87.63,Flatbed,FB,2026-06-08,1350.72,482.88,103.84,243.13,Soylent Goods,Tyrell Depot,inbound
85034,Phoenix,AZ,US,30303,Atlanta,GA,US,CRST,CRST Carriers,US-AZ-Phoenix-TO-Atlanta-GA-US-VN,1587,33.43,-112.04,33.75,-84.39,Dry Van,VN,2025-09-23,3169.46,193.09,196.65,570.5,Umbrella Foods,Gekko Wholesale,intercompany
75201,Dallas,TX,US,64120,Kansas City,MO,US,WERN,Werner Enterprises,US-TX-Dallas-TO-Kansas City-MO-US-HS,457,32.78,-96.8,39.13,-94.52,Hotshot,HS,2025-08-09,1092.87,61.98,67.58,196.72,Hooli Materials,Tyrell Depot,intercompany
37210,Nashville,TN,US,85034,Phoenix,AZ,US,JBHT,J.B. Hunt Freight,US-TN-Nashville-TO-Phoenix-AZ-US-FB,1444,36.13,-86.74,33.43,-112.04,Flatbed,FB,2026-04-09,3997.3,180.95,244.89,719.51,Umbrella Foods,Northwind Retail,third party
75201,Dallas,TX,US,64120,Kansas City,MO,US,SWFT,Swift Logistics,US-TX-Dallas-TO-Kansas City-MO-US-HS,457,32.78,-96.8,39.13,-94.52,Hotshot,HS,2026-06-14,908.55,362.06,71.71,163.54,Initech Supply,Massive Dynamic,inbound
07102,Newark,NJ,US,75201,Dallas,TX,US,KNXX,Knight Transportation,US-NJ-Newark-TO-Dallas-TX-US-RF,1363,40.74,-74.17,32.78,-96.8,Reefer,RF,2026-01-06,3988.7,393.38,255,717.97,Initech Supply,Gekko Wholesale,intercompany
80216,Denver,CO,US,37210,Nashville,TN,US,CRST,CRST Carriers,US-CO-Denver-TO-Nashville-TN-US-RF,1023,39.79,-104.97,36.13,-86.74,Reefer,RF,2025-08-19,2861.48,0,168.83,515.07,Umbrella Foods,Pied Piper Warehousing,inbound
80216,Denver,CO,US,60601,Chicago,IL,US,PAMT,PAM Transport,US-CO-Denver-TO-Chicago-IL-US-RF,916,39.79,-104.97,41.88,-87.63,Reefer,RF,2025-08-07,2753.82,0,162.48,495.69,Hooli Materials,Massive Dynamic,outbound
37210,Nashville,TN,US,60601,Chicago,IL,US,PAMT,PAM Transport,US-TN-Nashville-TO-Chicago-IL-US-FB,400,36.13,-86.74,41.88,-87.63,Flatbed,FB,2025-08-24,1012.36,199.27,69.69,182.23,Stark Components,Northwind Retail,intercompany
75201,Dallas,TX,US,60601,Chicago,IL,US,WERN,Werner Enterprises,US-TX-Dallas-TO-Chicago-IL-US-FB,805,32.78,-96.8,41.88,-87.63,Flatbed,FB,2026-02-26,1550.26,443.78,113.65,279.05,Wayne Distribution,Wonka Markets,outbound
98108,Seattle,WA,US,07102,Newark,NJ,US,JBHT,J.B. Hunt Freight,US-WA-Seattle-TO-Newark-NJ-US-FB,2393,47.55,-122.31,40.74,-74.17,Flatbed,FB,2026-04-21,4970.28,0,293.25,894.65,Stark Components,Gekko Wholesale,third party
90021,Los Angeles,CA,US,30303,Atlanta,GA,US,KNXX,Knight Transportation,US-CA-Los Angeles-TO-Atlanta-GA-US-RF,1932,34.03,-118.23,33.75,-84.39,Reefer,RF,2025-12-04,6061.72,361.69,375.73,1091.11,Soylent Goods,Wonka Markets,inbound
80216,Denver,CO,US,30303,Atlanta,GA,US,SWFT,Swift Logistics,US-CO-Denver-TO-Atlanta-GA-US-FB,1210,39.79,-104.97,33.75,-84.39,Flatbed,FB,2026-02-21,4843.33,0,285.76,871.8,Wayne Distribution,Gekko Wholesale,outbound
64120,Kansas City,MO,US,90021,Los Angeles,CA,US,JBHT,J.B. Hunt Freight,US-MO-Kansas City-TO-Los Angeles-CA-US-SD,1358,39.13,-94.52,34.03,-118.23,Step Deck,SD,2026-04-26,2960.23,68.07,178.06,532.84,Stark Components,Pied Piper Warehousing,outbound
64120,Kansas City,MO,US,75201,Dallas,TX,US,SWFT,Swift Logistics,US-MO-Kansas City-TO-Dallas-TX-US-RF,457,39.13,-94.52,32.78,-96.8,Reefer,RF,2025-07-27,1799.62,65.48,109.45,323.93,Globex Industries,Vandelay Imports,third party
80216,Denver,CO,US,33101,Miami,FL,US,PAMT,PAM Transport,US-CO-Denver-TO-Miami-FL-US-VN,1725,39.79,-104.97,25.78,-80.2,Dry Van,VN,2026-01-08,3816.09,61.07,228.2,686.9,Umbrella Foods,Gekko Wholesale,inbound
85034,Phoenix,AZ,US,30303,Atlanta,GA,US,USXP,US Xpress,US-AZ-Phoenix-TO-Atlanta-GA-US-VN,1587,33.43,-112.04,33.75,-84.39,Dry Van,VN,2026-06-11,3053.01,111.44,185.7,549.54,Acme Manufacturing,Pied Piper Warehousing,third party
75201,Dallas,TX,US,60601,Chicago,IL,US,USXP,US Xpress,US-TX-Dallas-TO-Chicago-IL-US-FB,805,32.78,-96.8,41.88,-87.63,Flatbed,FB,2026-05-21,1505.78,68.86,92.28,271.04,Acme Manufacturing,Cyberdyne Stores,intercompany
80216,Denver,CO,US,37210,Nashville,TN,US,PAMT,PAM Transport,US-CO-Denver-TO-Nashville-TN-US-HS,1023,39.79,-104.97,36.13,-86.74,Hotshot,HS,2026-01-13,1952.24,0,115.18,351.4,Acme Manufacturing,Vandelay Imports,outbound
80216,Denver,CO,US,43215,Columbus,OH,US,JBHT,J.B. Hunt Freight,US-CO-Denver-TO-Columbus-OH-US-HS,1163,39.79,-104.97,39.96,-82.99,Hotshot,HS,2025-08-11,1667.93,188.99,107.86,300.23,Initech Supply,Massive Dynamic,outbound
07102,Newark,NJ,US,75201,Dallas,TX,US,PAMT,PAM Transport,US-NJ-Newark-TO-Dallas-TX-US-RF,1363,40.74,-74.17,32.78,-96.8,Reefer,RF,2025-08-29,3547.83,0,209.32,638.61,Stark Components,Vandelay Imports,inbound
85034,Phoenix,AZ,US,75201,Dallas,TX,US,JBHT,J.B. Hunt Freight,US-AZ-Phoenix-TO-Dallas-TX-US-HS,882,33.43,-112.04,32.78,-96.8,Hotshot,HS,2026-02-22,1528.58,0,90.19,275.15,Acme Manufacturing,Gekko Wholesale,intercompany
80216,Denver,CO,US,37210,Nashville,TN,US,CRST,CRST Carriers,US-CO-Denver-TO-Nashville-TN-US-RF,1023,39.79,-104.97,36.13,-86.74,Reefer,RF,2026-05-17,2846.45,139.92,174.94,512.36,Umbrella Foods,Gekko Wholesale,intercompany
07102,Newark,NJ,US,75201,Dallas,TX,US,PAMT,PAM Transport,US-NJ-Newark-TO-Dallas-TX-US-HS,1363,40.74,-74.17,32.78,-96.8,Hotshot,HS,2026-04-03,2355.26,411.21,159.52,423.95,Initech Supply,Massive Dynamic,outbound
80216,Denver,CO,US,37210,Nashville,TN,US,SCNN,Schneider National,US-CO-Denver-TO-Nashville-TN-US-HS,1023,39.79,-104.97,36.13,-86.74,Hotshot,HS,2026-02-06,2249.11,0,132.7,404.84,Wayne Distribution,Cyberdyne Stores,inbound
98108,Seattle,WA,US,85034,Phoenix,AZ,US,CRST,CRST Carriers,US-WA-Seattle-TO-Phoenix-AZ-US-VN,1113,47.55,-122.31,33.43,-112.04,Dry Van,VN,2026-02-11,2854.82,362.12,186.54,513.87,Umbrella Foods,Cyberdyne Stores,intercompany
80216,Denver,CO,US,33101,Miami,FL,US,SCNN,Schneider National,US-CO-Denver-TO-Miami-FL-US-VN,1725,39.79,-104.97,25.78,-80.2,Dry Van,VN,2026-02-27,2911.34,95.61,176.55,524.04,Hooli Materials,Tyrell Depot,outbound
80216,Denver,CO,US,37210,Nashville,TN,US,KNXX,Knight Transportation,US-CO-Denver-TO-Nashville-TN-US-RF,1023,39.79,-104.97,36.13,-86.74,Reefer,RF,2026-06-07,3448.27,0,203.45,620.69,Hooli Materials,Cyberdyne Stores,inbound
75201,Dallas,TX,US,60601,Chicago,IL,US,USXP,US Xpress,US-TX-Dallas-TO-Chicago-IL-US-FB,805,32.78,-96.8,41.88,-87.63,Flatbed,FB,2025-10-30,1864.54,0,110.01,335.62,Umbrella Foods,Pied Piper Warehousing,third party
98108,Seattle,WA,US,07102,Newark,NJ,US,KNXX,Knight Transportation,US-WA-Seattle-TO-Newark-NJ-US-FB,2393,47.55,-122.31,40.74,-74.17,Flatbed,FB,2026-04-06,5957.09,57.15,354.33,1072.28,Wayne Distribution,Cyberdyne Stores,third party
07102,Newark,NJ,US,90021,Los Angeles,CA,US,JBHT,J.B. Hunt Freight,US-NJ-Newark-TO-Los Angeles-CA-US-FB,2437,40.74,-74.17,34.03,-118.23,Flatbed,FB,2025-12-21,6364.35,0,375.5,1145.58,Globex Industries,Gekko Wholesale,outbound
80216,Denver,CO,US,33101,Miami,FL,US,SWFT,Swift Logistics,US-CO-Denver-TO-Miami-FL-US-RF,1725,39.79,-104.97,25.78,-80.2,Reefer,RF,2025-11-17,4150.39,78.21,248.78,747.07,Soylent Goods,Northwind Retail,intercompany
